Command and Control (c2) servers	used to issue commands to hacked computers	
Jump boxes	used to make it difficult for defenders to trace the attack	
Staging servers	used for holding attack tools or hosting malicious payloads	
Remote attack systems	used by a hacker to perform attacks from any location	
<div>Grep&nbsp;</div>	<div>&nbsp;Linux / Unix CLI tool used for searching for a string of characters in a file or block of text. For instance, grep can be used to find a string in a file — often once on a machine hackers will look for passwords, and grep is a perfect tool to quickly search files for the word “password”.&nbsp;</div>	
<div>ICMP</div>	<div>Internet Control Message Protocol, network protocol used to diagnose network issues, split network response into packets</div>	
SSH	"the Secure Shell Protocol is a a <a href=""https://en.wikipedia.org/wiki/Cryptography"">cryptographic</a> <a href=""https://en.wikipedia.org/wiki/Network_protocol"">network protocol</a> for operating <a href=""https://en.wikipedia.org/wiki/Network_service"">network services</a> securely over an unsecured network.<sup><a href=""https://en.wikipedia.org/wiki/Secure_Shell#cite_note-rfc4251-1"">[1]</a></sup> Its most notable applications are remote <a href=""https://en.wikipedia.org/wiki/Login"">login</a> and <a href=""https://en.wikipedia.org/wiki/Command-line_interface"">command-line</a> execution.<div>SSH applications are based on a <a href=""https://en.wikipedia.org/wiki/Client%E2%80%93server_model"">client–server</a> architecture, connecting an <a href=""https://en.wikipedia.org/wiki/SSH_client"">SSH client</a> instance with an <a href=""https://en.wikipedia.org/wiki/SSH_server"">SSH server</a>.<sup><a href=""https://en.wikipedia.org/wiki/Secure_Shell#cite_note-rfc4252-2"">[2]</a></sup> SSH operates as a layered protocol suite comprising three principal hierarchical components: the <i>transport layer</i> provides server authentication, confidentiality, and integrity; the <i>user authentication protocol</i> validates the user to the server; and the <i>connection protocol</i> multiplexes the encrypted tunnel into multiple logical communication channels.<sup><a href=""https://en.wikipedia.org/wiki/Secure_Shell#cite_note-rfc4251-1"">[1]</a></sup></div>"	
<h1>18 U.S. Code § 1343</h1>	"<div> <div> <div> <div>Whoever, having devised or intending to devise any <a href=""https://www.law.cornell.edu/definitions/uscode.php?width=840&amp;height=800&amp;iframe=true&amp;def_id=18-USC-1034014607-980273003&amp;term_occur=999&amp;term_src=title:18:part:I:chapter:63:section:1343"">scheme or artifice to defraud</a>,  or for obtaining money or property by means of false or fraudulent  pretenses, representations, or promises, transmits or causes to be  transmitted by means of wire, radio, or television communication in  interstate or foreign commerce, any writings, signs, signals, pictures,  or sounds for the purpose of executing such scheme or artifice, shall be  fined under this title or imprisoned not more than 20 years, or both.  If the violation occurs in relation to, or involving any benefit  authorized, transported, transmitted, transferred, disbursed, or paid in  connection with, a presidentially declared major disaster or emergency  (as those terms are defined in section 102 of the <a href=""https://www.law.cornell.edu/topn/disaster_relief_act_of_1974"">Robert T. Stafford Disaster Relief and Emergency Assistance Act</a> (<a href=""https://www.law.cornell.edu/uscode/text/42/5122"">42 U.S.C. 5122</a>)),  or affects a financial institution, such person shall be fined not more  than $1,000,000 or imprisoned not more than 30 years, or both.</div><div><br></div><div><div></div><div><div><div>Let’s break down the wire fraud statute into its parts<br>21<br>18 U.S.C. § 1343 - Fraud by wire, radio, or television<br>1. Having devised or intending to devise<br>a. What? “any scheme or artifice”<br>i. For what purpose?<br>1. “to defraud, or”<br>2. “for obtaining money or property”<br>a. How? “by means of false or fraudulent pretenses, representations, <br>or promises”<br>2. Transmitting or causing to be transmitted<br>a. What? “any writings, signs, signals, pictures, or sounds” <br>b. How? “by means of wire, radio, or television communication”<br>c. Where? “in interstate or foreign commerce”<br>d. Why? “for the purpose of executing such scheme or artifice” <br>Penalty = fine, prison, or both (even higher if involves disaster relief or financial institution)</div></div></div></div> </div> <div>(Added July 16, 1952, ch. 879, § 18(a), <a href=""https://www.law.cornell.edu/rio/citation/66_Stat._722"">66 Stat. 722</a>; amended July 11, 1956, ch. 561, <a href=""https://www.law.cornell.edu/rio/citation/70_Stat._523"">70 Stat. 523</a>; <a href=""https://www.law.cornell.edu/rio/citation/Pub._L._101-73"">Pub. L. 101–73, title IX, § 961(j)</a>, Aug. 9, 1989, <a href=""https://www.law.cornell.edu/rio/citation/103_Stat._500"">103 Stat. 500</a>; <a href=""https://www.law.cornell.edu/rio/citation/Pub._L._101-647"">Pub. L. 101–647, title XXV, § 2504(i)</a>, Nov. 29, 1990, <a href=""https://www.law.cornell.edu/rio/citation/104_Stat._4861"">104 Stat. 4861</a>; <a href=""https://www.law.cornell.edu/rio/citation/Pub._L._103-322"">Pub. L. 103–322, title XXXIII, § 330016(1)(H)</a>, Sept. 13, 1994, <a href=""https://www.law.cornell.edu/rio/citation/108_Stat._2147"">108 Stat. 2147</a>; <a href=""https://www.law.cornell.edu/rio/citation/Pub._L._107-204"">Pub. L. 107–204, title IX, § 903(b)</a>, July 30, 2002, <a href=""https://www.law.cornell.edu/rio/citation/116_Stat._805"">116 Stat. 805</a>; <a href=""https://www.law.cornell.edu/rio/citation/Pub._L._110-179"">Pub. L. 110–179, § 3</a>, Jan. 7, 2008, <a href=""https://www.law.cornell.edu/rio/citation/121_Stat._2557"">121 Stat. 2557</a>.)</div> </div></div>"	
<i><b>United States v. Riggs</b></i>	"the government of the United States prosecuted Robert Riggs and <a href=""https://en.wikipedia.org/wiki/Craig_Neidorf"">Craig Neidorf</a> for obtaining unauthorized access to and subsequently disseminating a file held on <a href=""https://en.wikipedia.org/wiki/BellSouth"">BellSouth's</a>  computers.  The file, referred to as the E911 file, gave information  regarding BellSouth's products implementing 911 emergency telephone  services.<sup><a href=""https://en.wikipedia.org/wiki/United_States_v._Riggs#cite_note-acm-4"">[4]</a></sup> Riggs and Neidorf were both indicted in the <a href=""https://en.wikipedia.org/wiki/United_States_District_Court_for_the_Northern_District_of_Illinois"">District Court of the Northern District of Illinois</a> on numerous charges relating to the dissemination of the E911 text file. As Riggs had previously been indicted in the <a href=""https://en.wikipedia.org/wiki/United_States_District_Court_for_the_Northern_District_of_Georgia"">Northern District of Georgia</a>  in relation to the same incident, his charges from Illinois were  transferred to Georgia.  Riggs ultimately pleaded guilty in Georgia and  was sentenced to 21 months in prison and two years' supervised release.<sup><a href=""https://en.wikipedia.org/wiki/United_States_v._Riggs#cite_note-appeal_denied-3"">[3]</a></sup>  Neidorf pleaded not guilty in Illinois and the government dropped all charges against Neidorf four days after the trial began"	law precedent
Four true layers of the Internet/modern networks	"<div><br></div><div>Four layers of Internet network encapsulation/abstraction:</div><div>&nbsp; &nbsp; &nbsp; 1. Application layer -&nbsp;data; HTTP</div><div>2. Transport layer- reliability; UDP header; multiplexing<br>&nbsp;A. TCP-IP transport control protocol<br>&nbsp; &nbsp; &nbsp; &nbsp;B. UDP provides a port but little reliability<br>&nbsp; &nbsp; &nbsp; &nbsp;C. Creates ports&nbsp;<br>&nbsp; &nbsp; &nbsp; &nbsp;D. Allows for multiple services &amp; multiplexing<br>&nbsp; &nbsp; &nbsp; 3. Internet - IP header &amp; data</div><div>-Provides for worldwide addresses on many different physical layers; is best-effort as all IP packets arrive in the same ""inbox"" at destination<br>&nbsp; &nbsp; &nbsp; 4. Link/physical layer (<b>Ethernet)</b> usually tied to a physical interface<br></div><div>-Moves data between systems, provides for one hop, link &amp; physical generally tied together</div><div><br></div><div><br></div>"	
Autonomous systems	Internet service providers represented as their own sovereign clouds; comcast; AT&amp;T, Verizon, centurylink	
